2020-11-19 20:03:48 status installed libpsl5:amd64 0.20.2-2
2020-11-19 20:03:48 configure libnghttp2-14:amd64 1.36.0-2+deb10u1 <none>
2020-11-19 20:03:48 status unpacked libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-11-19 20:03:48 status half-configured libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-11-19 20:03:48 status installed libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-11-19 20:03:48 configure libldap-common:all 2.4.47+dfsg-3+deb10u4 <none>
2020-11-19 20:03:48 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:48 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:48 status installed libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:48 configure libkrb5support0:amd64 1.17-3 <none>
2020-11-19 20:03:48 status unpacked libkrb5support0:amd64 1.17-3
2020-11-19 20:03:48 status half-configured libkrb5support0:amd64 1.17-3
2020-11-19 20:03:48 status installed libkrb5support0:amd64 1.17-3
